offspring_id known_id candidate_id
1.FA1.06_H1_R1_08 1.FA1.06 1.FA1.06
1.FA1.06_H1_R1_11 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_12 1.FA1.06 1.FA1.07
1.FA1.06_H1_R1_14 1.FA1.06 1.FA1.07
1.FA1.06_H1_R2_01 1.FA1.06 1.FA1.04
1.FA1.06_H1_R2_02 1.FA1.06 1.FA1.06
1.FA1.06_H1_R2_03 1.FA1.06 1.FA1.06
1.FA1.06_H1_R3_01 1.FA1.06 1.FA1.10
1.FA1.06_H1_R4_01 1.FA1.06 1.FA1.01
1.FA1.06_H1_R4_02 1.FA1.06 1.FA1.06
1.FA1.06_H1_R4_03 1.FA1.06 1.FA1.06
1.FA1.06_H2_R1_01 1.FA1.06 1.FA1.05
1.FA1.06_H2_R2_01 1.FA1.06 1.FA1.10
1.FA1.06_H2_R2_02 1.FA1.06 1.FA1.06
1.FA1.06_H2_R2_04 1.FA1.06 1.FA1.10
1.FA1.06_H2_R2_05 1.FA1.06 1.FA1.05
1.FA1.06_H2_R4_01 1.FA1.06 1.FA1.07
1.FA1.06_H2_R4_02 1.FA1.06 1.FA1.06
1.FA1.06_H3_R1_02 1.FA1.06 1.FA1.06
1.FA1.06_H3_R1_03 1.FA1.06 1.FA1.07
1.FA1.06_H3_R1_04 1.FA1.06 1.FA1.07
1.FA1.06_H3_R2_02 1.FA1.06 1.FA1.06
1.FA1.06_H3_R2_04 1.FA1.06 1.FA1.06
1.FA1.07_H1_R6_01 1.FA1.07 1.FA1.07
1.FA1.07_H2_R2_01 1.FA1.07 1.FA1.07
1.FA1.08_H1_R2_01 1.FA1.08 1.FA1.07
1.FA1.08_H1_R2_02 1.FA1.08 1.FA1.03
1.FA1.08_H1_R2_03 1.FA1.08 1.FA1.03
1.FA1.08_H1_R2_04 1.FA1.08 1.FA1.09
1.FA1.08_H1_R2_05 1.FA1.08 1.FA1.09
1.FA1.08_H1_R2_07 1.FA1.08 1.FA1.05
1.FA1.08_H1_R2_08 1.FA1.08 1.FA1.05
1.FA1.08_H2_R1_01 1.FA1.08 1.FA1.01
1.FA1.08_H2_R1_03 1.FA1.08 1.FA1.09
1.FA1.08_H2_R1_04 1.FA1.08 1.FA1.01
1.FA1.08_H2_R1_05 1.FA1.08 1.FA1.04
1.FA1.09_H1_R1_01 1.FA1.09 1.FA1.05
1.FA1.09_H1_R1_02 1.FA1.09 1.FA1.05
1.FA1.09_H1_R1_03 1.FA1.09 1.FA1.05
1.FA1.09_H1_R3_01 1.FA1.09 1.FA1.08
1.FA1.09_H1_R3_02 1.FA1.09 1.FA1.10
1.FA1.09_H1_R4_01 1.FA1.09 1.FA1.04
1.FA1.09_H1_R4_02 1.FA1.09 1.FA1.10
1.FA1.09_H1_R4_03 1.FA1.09 1.FA1.04
1.FA1.09_H1_R4_04 1.FA1.09 1.FA1.04
1.FA1.09_H1_R4_05 1.FA1.09 1.FA1.04
1.FA1.09_H1_R4_06 1.FA1.09 1.FA1.04
1.FA1.09_H1_R4_07 1.FA1.09 1.FA1.04
1.FA1.09_H1_R6_01 1.FA1.09 1.FA1.04
1.FA1.09_H1_R7_01 1.FA1.09 1.FA1.08
1.FA1.09_H2_R1_01 1.FA1.09 1.FA1.05
1.FA1.09_H2_R1_02 1.FA1.09 1.FA1.03
1.FA1.09_H2_R2_01 1.FA1.09 1.FA1.08
1.FA1.09_H2_R2_02 1.FA1.09 1.FA1.08
1.FA1.09_H2_R2_03 1.FA1.09 1.FA1.08
1.FA1.09_H2_R2_04 1.FA1.09 1.FA1.07
1.FA1.09_H2_R3_01 1.FA1.09 1.FA1.05
1.FA1.09_H2_R4_01 1.FA1.09 1.FA1.04
1.FA1.09_H2_R4_02 1.FA1.09 1.FA1.04
1.FA1.09_H2_R4_03 1.FA1.09 1.FA1.04
1.FA1.09_H3_R2_01 1.FA1.09 1.FA1.08
1.FA1.09_H3_R2_02 1.FA1.09 1.FA1.08
1.FA1.09_H3_R2_03 1.FA1.09 1.FA1.08
1.FA1.09_H3_R3_01 1.FA1.09 1.FA1.08
1.FA1.10_H1_R10_01 1.FA1.10 1.FA1.02
1.FA1.10_H1_R1_01 1.FA1.10 1.FA1.04
1.FA1.10_H1_R1_02 1.FA1.10 1.FA1.05
1.FA1.10_H1_R2_01 1.FA1.10 1.FA1.09
1.FA1.10_H1_R2_02 1.FA1.10 1.FA1.09
1.FA1.10_H1_R2_03 1.FA1.10 1.FA1.09
1.FA1.10_H1_R6_01 1.FA1.10 1.FA1.04
1.FA1.10_H1_R7_01 1.FA1.10 1.FA1.08
1.FA1.10_H2_R1_01 1.FA1.10 1.FA1.04
1.FA1.10_H2_R1_02 1.FA1.10 1.FA1.04
1.FA1.10_H2_R1_03 1.FA1.10 1.FA1.04
1.FA1.10_H2_R1_04 1.FA1.10 1.FA1.10
1.FA1.10_H2_R1_05 1.FA1.10 1.FA1.04
1.FA1.10_H2_R1_06 1.FA1.10 1.FA1.04
1.FA1.10_H2_R2_01 1.FA1.10 1.FA1.10
1.FA1.10_H2_R2_02 1.FA1.10 1.FA1.04
1.FA1.10_H2_R2_03 1.FA1.10 1.FA1.10
1.FA2.01_H1_R1_01 1.FA2.01 1.FA2.02
1.FA2.01_H1_R1_04 1.FA2.01 1.FA2.02
1.FA2.01_H1_R1_05 1.FA2.01 1.FA2.02
1.FA2.01_H1_R2_01 1.FA2.01 1.FA2.02
1.FA2.01_H1_R2_02 1.FA2.01 1.FA2.10
1.FA2.01_H1_R2_03 1.FA2.01 1.FA2.02
1.FA2.01_H1_R3_01 1.FA2.01 1.FA2.02
1.FA2.01_H1_R3_02 1.FA2.01 1.FA2.08
1.FA2.01_H1_R3_03 1.FA2.01 1.FA2.02
1.FA2.01_H1_R3_04 1.FA2.01 1.FA2.02
1.FA2.01_H2_R1_02 1.FA2.01 1.FA2.02
1.FA2.01_H2_R1_03 1.FA2.01 1.FA2.02
1.FA2.01_H2_R1_04 1.FA2.01 1.FA2.02
1.FA2.01_H2_R1_05 1.FA2.01 1.FA2.10
1.FA2.01_H2_R3_01 1.FA2.01 1.FA2.03
1.FA2.01_H2_R3_02 1.FA2.01 1.FA2.02
1.FA2.01_H2_R3_03 1.FA2.01 1.FA2.10
1.FA2.01_H2_R3_04 1.FA2.01 1.FA2.02
1.FA2.01_H2_R3_05 1.FA2.01 1.FA2.02
1.FA2.01_H3_R1_01 1.FA2.01 1.FA2.02
1.FA2.01_H3_R2_02 1.FA2.01 1.FA2.02
1.FA2.01_H3_R2_03 1.FA2.01 1.FA2.02
1.FA2.01_H3_R2_05 1.FA2.01 1.FA2.02
1.FA2.01_H3_R2_06 1.FA2.01 1.FA2.10
1.FA2.01_H3_R2_08 1.FA2.01 1.FA2.02
1.FA2.01_H3_R5_01 1.FA2.01 1.FA2.02
1.FA2.01_H3_R5_02 1.FA2.01 1.FA2.02
1.FA2.01_H3_R5_03 1.FA2.01 1.FA2.08
1.FA2.01_H3_R5_04 1.FA2.01 1.FA2.08
1.FA2.01_H4_R1_01 1.FA2.01 1.FA2.02
1.FA2.01_H4_R1_04 1.FA2.01 1.FA2.02
1.FA2.02_H1_R1_02 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_03 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_07 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_08 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_09 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_11 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_12 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_13 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_14 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_17 1.FA2.02 1.FA2.03
1.FA2.02_H1_R1_18 1.FA2.02 1.FA2.03
1.FA2.02_H1_R3_01 1.FA2.02 1.FA2.02
1.FA2.02_H1_R3_02 1.FA2.02 1.FA2.01
1.FA2.02_H1_R3_03 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_01 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_02 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_03 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_04 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_05 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_06 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_07 1.FA2.02 1.FA2.01
1.FA2.02_H1_R4_08 1.FA2.02 1.FA2.01
1.FA2.02_H2_R1_01 1.FA2.02 1.FA2.02
1.FA2.02_H2_R1_02 1.FA2.02 1.FA2.02
1.FA2.02_H2_R1_03 1.FA2.02 1.FA2.09
1.FA2.02_H2_R2_01 1.FA2.02 1.FA2.02
1.FA2.02_H2_R3_01 1.FA2.02 1.FA2.03
1.FA2.02_H2_R3_02 1.FA2.02 1.FA2.03
1.FA2.03_H1_R1_01 1.FA2.03 1.FA2.03
1.FA2.03_H1_R1_02 1.FA2.03 1.FA2.03
1.FA2.03_H1_R1_03 1.FA2.03 1.FA2.03
1.FA2.03_H1_R1_04 1.FA2.03 1.FA2.03
1.FA2.03_H1_R1_05 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_01 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_02 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_03 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_04 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_05 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_06 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_07 1.FA2.03 1.FA2.03
1.FA2.03_H2_R1_08 1.FA2.03 1.FA2.03
1.FA2.05_H1_R1_01 1.FA2.05 1.FA2.10
1.FA2.05_H1_R1_02 1.FA2.05 1.FA2.10
1.FA2.05_H1_R1_03 1.FA2.05 1.FA2.05
1.FA2.05_H1_R1_04 1.FA2.05 1.FA2.10
1.FA2.05_H1_R1_05 1.FA2.05 1.FA2.05
1.FA2.05_H1_R1_06 1.FA2.05 1.FA2.05
1.FA2.05_H1_R1_10 1.FA2.05 1.FA2.10
1.FA2.05_H1_R1_15 1.FA2.05 1.FA2.10
1.FA2.05_H1_R1_16 1.FA2.05 1.FA2.10
1.FA2.05_H1_R1_18 1.FA2.05 1.FA2.05
1.FA2.05_H1_R1_19 1.FA2.05 1.FA2.05
1.FA2.05_H1_R1_20 1.FA2.05 1.FA2.10
1.FA2.05_H1_R2_01 1.FA2.05 1.FA2.05
1.FA2.05_H1_R2_03 1.FA2.05 1.FA2.07
1.FA2.05_H1_R2_05 1.FA2.05 1.FA2.09
1.FA2.05_H1_R3_01 1.FA2.05 1.FA2.09
1.FA2.05_H1_R3_02 1.FA2.05 1.FA2.09
1.FA2.05_H1_R3_04 1.FA2.05 1.FA2.10
1.FA2.05_H1_R3_05 1.FA2.05 1.FA2.09
1.FA2.05_H2_R1_03 1.FA2.05 1.FA2.07
1.FA2.05_H2_R1_04 1.FA2.05 1.FA2.10
1.FA2.05_H2_R1_06 1.FA2.05 1.FA2.05
1.FA2.05_H2_R2_01 1.FA2.05 1.FA2.10
1.FA2.05_H2_R3_02 1.FA2.05 1.FA2.07
1.FA2.05_H3_R1_01 1.FA2.05 1.FA2.05
1.FA2.05_H3_R1_02 1.FA2.05 1.FA2.05
1.FA2.05_H3_R1_03 1.FA2.05 1.FA2.10
1.FA2.05_H3_R1_04 1.FA2.05 1.FA2.10
1.FA2.05_H3_R2_01 1.FA2.05 1.FA2.09
1.FA2.05_H3_R2_03 1.FA2.05 1.FA2.10
1.FA2.05_H3_R2_04 1.FA2.05 1.FA2.10
1.FA2.06_H1_R1_01 1.FA2.06 1.FA2.01
1.FA2.06_H2_R1_01 1.FA2.06 1.FA2.01
1.FA2.06_H2_R1_02 1.FA2.06 1.FA2.01
1.FA2.06_H2_R3_01 1.FA2.06 1.FA2.06
1.FA2.06_H2_R3_02 1.FA2.06 1.FA2.06
1.FA2.06_H2_R3_03 1.FA2.06 1.FA2.02
1.FA2.07_H1_R1_01 1.FA2.07 1.FA2.05
1.FA2.07_H1_R1_02 1.FA2.07 1.FA2.05
1.FA2.07_H1_R1_03 1.FA2.07 1.FA2.05
1.FA2.07_H1_R1_04 1.FA2.07 1.FA2.10
1.FA2.07_H1_R1_06 1.FA2.07 1.FA2.05
1.FA2.07_H1_R1_07 1.FA2.07 1.FA2.09
1.FA2.07_H1_R1_08 1.FA2.07 1.FA2.09
1.FA2.07_H1_R1_09 1.FA2.07 1.FA2.09
1.FA2.07_H1_R1_10 1.FA2.07 1.FA2.10
1.FA2.07_H1_R1_11 1.FA2.07 1.FA2.05
1.FA2.07_H1_R1_12 1.FA2.07 1.FA2.10
1.FA2.07_H2_R3_01 1.FA2.07 1.FA2.08
1.FA2.07_H2_R3_02 1.FA2.07 1.FA2.08
1.FA2.07_H2_R3_03 1.FA2.07 1.FA2.08
1.FA2.07_H2_R3_04 1.FA2.07 1.FA2.07
1.FA2.07_H3_R1_01 1.FA2.07 1.FA2.08
1.FA2.07_H3_R1_02 1.FA2.07 1.FA2.10
1.FA2.07_H3_R1_03 1.FA2.07 1.FA2.07
1.FA2.07_H3_R1_05 1.FA2.07 1.FA2.08
1.FA2.07_H3_R1_06 1.FA2.07 1.FA2.08
1.FA2.07_H3_R1_07 1.FA2.07 1.FA2.05
1.FA2.08_H1_R10_01 1.FA2.08 1.FA2.08
1.FA2.08_H1_R1_01 1.FA2.08 1.FA2.08
1.FA2.08_H1_R1_02 1.FA2.08 1.FA2.08
1.FA2.08_H1_R2_01 1.FA2.08 1.FA2.07
1.FA2.08_H1_R4_02 1.FA2.08 1.FA2.07
1.FA2.08_H1_R4_03 1.FA2.08 1.FA2.05
1.FA2.08_H1_R4_04 1.FA2.08 1.FA2.07
1.FA2.08_H1_R4_05 1.FA2.08 1.FA2.07
1.FA2.08_H1_R4_06 1.FA2.08 1.FA2.07
1.FA2.08_H1_R5_02 1.FA2.08 1.FA2.07
1.FA2.08_H1_R5_03 1.FA2.08 1.FA2.07
1.FA2.08_H1_R5_05 1.FA2.08 1.FA2.07
1.FA2.08_H1_R5_06 1.FA2.08 1.FA2.10
1.FA2.08_H1_R5_07 1.FA2.08 1.FA2.07
1.FA2.08_H1_R7_01 1.FA2.08 1.FA2.07
1.FA2.08_H1_R7_02 1.FA2.08 1.FA2.07
